item_nr,item,subscale,reverse,notes
1,I am someone who tends to be quiet.,extraversion,1,
2,"I am someone who is compassionate, has a soft heart.",agreeableness,0,
3,I am someone who tends to be disorganized.,conscientiousness,1,
4,I am someone who worries a lot.,negative emotionality,0,
5,"I am someone who is fascinated by art, music, or literature.",open-mindedness,0,
6,"I am someone who is dominant, acts as a leader.",extraversion,0,
7,I am someone who is sometimes rude to others.,agreeableness,1,
8,I am someone who has difficulty getting started on tasks.,conscientiousness,1,
9,"I am someone who tends to feel depressed, blue.",negative emotionality,0,
10,I am someone who has little interest in abstract ideas.,open-mindedness,1,
11,I am someone who is full of energy.,extraversion,0,
12,I am someone who assumes the best about people.,agreeableness,0,
13,"I am someone who is reliable, can always be counted on. ",conscientiousness,0,
14,"I am someone who is emotionally stable, not easily upset. ",negative emotionality,1,
15,"I am someone who is original, comes up with new ideas.",open-mindedness,0,
