item_nr,item,subscale,reverse,notes
1,We are approaching the limit of the number of people the earth can support.,,0,
2,Humans have the right to modify the natural environment to suit their needs.,,1,
3,When humans interfere with nature it often produces disastrous consequences.,,0,
4,Human ingenuity will insure that we do NOT make the earth unlivable.,,1,
5,Humans are severely abusing the environment.,,0,
6,The earth has plenty of natural resources if we just learn how to develop them.,,1,
7,Plants and animals have as much right as humans to exist.,,0,
8,The balance of nature is strong enough to cope with the impacts of modern industrial nations.,,1,
9,Despite our special abilities humans are still subject to the laws of nature.,,0,
10,The so-called “ecological crisis” facing humankind has been greatly exaggerated.,,1,
11,The earth is like a spaceship with very limited room and resources.,,0,
12,Humans were meant to rule over the rest of nature.,,1,
13,The balance of nature is very delicate and easily upset.,,0,
14,Humans will eventually learn enough about how nature works to be able to control it.,,1,
15,"If things continue on their present course, we will soon experience a major ecological catastrophe.",,0,
