translation,n
"Below are several statements about how people may feel. For each statement, indicate to what extent it applies to you.",7
"Below are several statements about how people may feel. For each statement, please indicate to what extent it applies to you.",5
"Below are a number of statements about how people may feel. For each statement, please indicate to what extent it applies to you.",3
"Below are several statements about how people might feel. For each statement, please indicate to what extent it applies to you.",2
"Below is a number of statements about how people may feel. For each statement, indicate to what extent it applies to you.",2
"Below are a number of statements about how people might feel. For each statement, indicate to what extent it applies to you.",1
"Below are a number of statements about how people might feel. For each statement, please indicate to what extent it applies to you.",1
"Below are several statements about how people may feel. For each statement, indicate the extent to which it applies to you.",1
"Below are several statements about how people may feel. For each statement, please indicate the extent to which it applies to you.",1
"Below are several statements about how people might feel. For each statement, indicate to what extent it applies to you.",1
"Below is a number of statements about how people may feel. For each statement, please indicate the extent to which it applies to you.",1
